checkpoint,checkpoint_label,workload,core_commit,plugin_commit,source_path,raw_result_path,execution_mode,real_online_evidence,benchmark_invocation_repeat_count,request_count_per_invocation,request_count_unit,warmup_count,warmup_detail,independent_3_repeat_median,public_display_label,internal_evidence_status,repeat_suite_path,repeat_group_present,canonical_aggregate_present,inferred_fields,exact_spec_hash,snapshot_data_source_label,evidence_grade,throughput_tps,ttft_ms,tbt_ms,error_rate
C2,2026-07-16 core health checkpoint,instructcoder-online,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m2-instructcoder-73187bc8ba-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m2-instructcoder-73187bc8ba-03a12f9bdd-20260816/raw_benchmark_result.json,online,"raw serve result: completed=2048, failed=0; server_log=true; independent_invocations=1",1,2048,requests,,no benchmark warmup phase declared in the serve invocation,False,representative measured result,temporary evidence: single invocation; formal statistical hardening pending,,False,False,,8b0eda0c27055ec8449469dde022d9b37bd7efb201622c811e1add76dd9ffc10,real-online-stable-trend-delta,"B: single invocation with raw result, logs, environment/checksums",126.13275218193205,115.12858135233728,30.746060971217272,0.0
C2,2026-07-16 core health checkpoint,prefix-repetition-online,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m2-prefix-repetition-online-73187bc8ba-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m2-prefix-repetition-online-73187bc8ba-03a12f9bdd-20260816/raw_benchmark_result.json,online,"raw serve result: completed=200, failed=0; server_log=true; independent_invocations=1",1,200,requests,,no benchmark warmup phase declared in the serve invocation,False,representative measured result,temporary evidence: single invocation; formal statistical hardening pending,,False,False,,e15c064444f8774db0760f330120b0b9cc6c92e2bb4b16734df11a2b8a290bea,real-online-stable-trend-delta,"B: single invocation with raw result, logs, environment/checksums",244.4353328928585,259.3311937828548,40.43496152996908,0.0
C2,2026-07-16 core health checkpoint,random-latency,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m2-random-latency-73187bc8ba-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m2-random-latency-73187bc8ba-03a12f9bdd-20260816/raw_benchmark_result.json,offline,not real-online: offline raw benchmark result; offline_graph_proof=true; independent_invocations=1,1,30,measured iterations; batch_size=8,10,10 warmup iterations,False,representative measured result,temporary evidence: single invocation; formal statistical hardening pending,,False,False,,3e81e3e00639f882933d45f5420a8e0813225bc6d7370a6f318cb207417c8f6a,real-online-stable-trend-delta,"B: single invocation with raw result, logs, environment/checksums",,4907.897825663288,,0.0
C2,2026-07-16 core health checkpoint,random-online,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m2-random-online-73187bc8ba-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m2-random-online-73187bc8ba-03a12f9bdd-20260816/raw_benchmark_result.json,online,"raw serve result: completed=200, failed=0; server_log=true; independent_invocations=1",1,200,requests,,no benchmark warmup phase declared in the serve invocation,False,representative measured result,temporary evidence: single invocation; formal statistical hardening pending,,False,False,,f8cc8fc26b4b9bb06d50f079174894a95d2bc0f49799374a652e6e04b75c8feb,real-online-stable-trend-delta,"B: single invocation with raw result, logs, environment/checksums",245.57336895405402,230.2889873716049,37.29726531117351,0.0
C2,2026-07-16 core health checkpoint,sharegpt-online,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m2-sharegpt-online-73187bc8ba-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m2-sharegpt-online-73187bc8ba-03a12f9bdd-20260816/raw_benchmark_result.json,online,"raw serve result: completed=200, failed=0; server_log=true; independent_invocations=1",1,200,requests,,no benchmark warmup phase declared in the serve invocation,False,representative measured result,temporary evidence: single invocation; formal statistical hardening pending,,False,False,,66100e24033a9724a65e6e245d1e33a0e933fbfdcd850558428ac095ae5b4ded,real-online-stable-trend-delta,"B: single invocation with raw result, logs, environment/checksums",204.62477099110689,128.41859467327595,31.98477615792452,0.0
C2,2026-07-16 core health checkpoint,sharegpt-throughput,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m2-sharegpt-throughput-73187bc8ba-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m2-sharegpt-throughput-73187bc8ba-03a12f9bdd-20260816/raw_benchmark_result.json,offline,not real-online: offline raw benchmark result; offline_graph_proof=true; independent_invocations=1,1,200,requests,0,0 benchmark warmup requests,False,representative measured result,temporary evidence: single invocation; formal statistical hardening pending,,False,False,,c611658f1d2189d7d267df78bfcf3ba572429d815ec680fe4e8d1313912198fd,real-online-stable-trend-delta,"B: single invocation with raw result, logs, environment/checksums",2041.981557678145,,,0.0
C2,2026-07-16 core health checkpoint,sonnet-throughput,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m2-sonnet-throughput-73187bc8ba-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m2-sonnet-throughput-73187bc8ba-03a12f9bdd-20260816/raw_benchmark_result.json,offline,not real-online: offline raw benchmark result; offline_graph_proof=true; independent_invocations=3,3,200,requests,0,0 benchmark warmup requests,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m2-sonnet-throughput-73187bc8ba-03a12f9bdd-20260816/repeat_suite.json,False,False,,ecaff7738d2288c97fd8f41df61e62480a1706ea157cd0ed9a6093d805514cd1,real-online-stable-trend-delta,A: raw artifacts plus independent 3-repeat median,3621.8935690105823,,,0.0
C2,2026-07-16 core health checkpoint,visionarena-online,73187bc8ba89b8f83652cbc24042433fb7032add,03a12f9bddd944952bd029c6b62e23d68fa3a28e,submissions/stable-trend-m2-visionarena-73187bc8ba-03a12f9bdd-20260816/run_leaderboard.json,submissions/stable-trend-m2-visionarena-73187bc8ba-03a12f9bdd-20260816/raw_benchmark_result.json,online,"raw serve result: completed=1000, failed=0; server_log=true; independent_invocations=3",3,1000,requests,,no benchmark warmup phase declared in the serve invocation,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m2-visionarena-73187bc8ba-03a12f9bdd-20260816/repeat_suite.json,False,False,,22e4a99de4a4f3ee7daf9ae01d443809ac9486bc22dd84ecf21396474622d6b5,real-online-stable-trend-delta,A: raw artifacts plus independent 3-repeat median,113.14473970601132,420.04777562618256,21.03144297914011,0.0
C3,2026-07-19 core health checkpoint,agent-research-online,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,submissions/stable-trend-m3-agent-1aa7cd10b7-03ae1d03db-20260816/run_leaderboard.json,submissions/stable-trend-m3-agent-1aa7cd10b7-03ae1d03db-20260816/raw_benchmark_result.json,online,"raw serve result: completed=32, failed=0; server_log=true; independent_invocations=1",1,32,requests,,no benchmark warmup phase declared in the serve invocation,False,representative measured result,temporary evidence: single invocation; formal statistical hardening pending,,False,False,same_spec.resolved_client_parameters.no_stream;same_spec.resolved_spec_hash,70446ab0d1019d0fa4a117ce9d43623421727d9638204c09b733deca3a7beaec,real-online-stable-trend-delta,"B: single invocation with raw result, logs, environment/checksums",205.2308873973968,2903.261681407457,39.40216052858388,0.0
C3,2026-07-19 core health checkpoint,instructcoder-online,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,submissions/stable-trend-m3-instructcoder-1aa7cd10b7-03ae1d03db-20260816/run_leaderboard.json,submissions/stable-trend-m3-instructcoder-1aa7cd10b7-03ae1d03db-20260816/raw_benchmark_result.json,online,"raw serve result: completed=2048, failed=0; server_log=true; independent_invocations=1",1,2048,requests,,no benchmark warmup phase declared in the serve invocation,False,representative measured result,temporary evidence: single invocation; formal statistical hardening pending,,False,False,,8b0eda0c27055ec8449469dde022d9b37bd7efb201622c811e1add76dd9ffc10,real-online-stable-trend-delta,"B: single invocation with raw result, logs, environment/checksums",126.27384476459227,113.72123360843034,30.669113374356154,0.0
C3,2026-07-19 core health checkpoint,prefix-repetition-online,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,submissions/stable-trend-m3-prefix-repetition-online-1aa7cd10b7-03ae1d03db-20260816/run_leaderboard.json,submissions/stable-trend-m3-prefix-repetition-online-1aa7cd10b7-03ae1d03db-20260816/raw_benchmark_result.json,online,"raw serve result: completed=200, failed=0; server_log=true; independent_invocations=1",1,200,requests,,no benchmark warmup phase declared in the serve invocation,False,representative measured result,temporary evidence: single invocation; formal statistical hardening pending,,False,False,,e15c064444f8774db0760f330120b0b9cc6c92e2bb4b16734df11a2b8a290bea,real-online-stable-trend-delta,"B: single invocation with raw result, logs, environment/checksums",244.46153436776785,261.9912320235744,40.33342249917926,0.0
C3,2026-07-19 core health checkpoint,random-latency,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,reports/historical-recovery-evidence/reruns/1aa7cd10b7-03ae1d03db-random-latency/run_leaderboard.json,reports/historical-recovery-evidence/reruns/1aa7cd10b7-03ae1d03db-random-latency/raw_benchmark_result.json,offline,not real-online: offline raw benchmark result; offline_graph_proof=false; independent_invocations=1,1,30,measured iterations; batch_size=8,10,10 warmup iterations,False,representative measured result,temporary evidence: single invocation; formal statistical hardening pending,,False,False,,3e81e3e00639f882933d45f5420a8e0813225bc6d7370a6f318cb207417c8f6a,real-online-historical-pr-backfill,C: single invocation raw result/manifest only,,4887.08614447775,,0.0
C3,2026-07-19 core health checkpoint,random-online,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,submissions/stable-trend-m3-random-online-1aa7cd10b7-03ae1d03db-20260816/run_leaderboard.json,submissions/stable-trend-m3-random-online-1aa7cd10b7-03ae1d03db-20260816/raw_benchmark_result.json,online,"raw serve result: completed=200, failed=0; server_log=true; independent_invocations=1",1,200,requests,,no benchmark warmup phase declared in the serve invocation,False,representative measured result,temporary evidence: single invocation; formal statistical hardening pending,,False,False,,f8cc8fc26b4b9bb06d50f079174894a95d2bc0f49799374a652e6e04b75c8feb,real-online-stable-trend-delta,"B: single invocation with raw result, logs, environment/checksums",245.58824916290104,231.9717248622328,37.194689120412534,0.0
C3,2026-07-19 core health checkpoint,sharegpt-online,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,submissions/stable-trend-m3-sharegpt-online-1aa7cd10b7-03ae1d03db-20260816/run_leaderboard.json,submissions/stable-trend-m3-sharegpt-online-1aa7cd10b7-03ae1d03db-20260816/raw_benchmark_result.json,online,"raw serve result: completed=200, failed=0; server_log=true; independent_invocations=1",1,200,requests,,no benchmark warmup phase declared in the serve invocation,False,representative measured result,temporary evidence: single invocation; formal statistical hardening pending,,False,False,,66100e24033a9724a65e6e245d1e33a0e933fbfdcd850558428ac095ae5b4ded,real-online-stable-trend-delta,"B: single invocation with raw result, logs, environment/checksums",208.77785007681646,126.98828803841025,31.767201005524498,0.0
C3,2026-07-19 core health checkpoint,sharegpt-throughput,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,submissions/stable-trend-m3-sharegpt-throughput-1aa7cd10b7-03ae1d03db-20260816/run_leaderboard.json,submissions/stable-trend-m3-sharegpt-throughput-1aa7cd10b7-03ae1d03db-20260816/raw_benchmark_result.json,offline,not real-online: offline raw benchmark result; offline_graph_proof=true; independent_invocations=1,1,200,requests,0,0 benchmark warmup requests,False,representative measured result,temporary evidence: single invocation; formal statistical hardening pending,,False,False,,c611658f1d2189d7d267df78bfcf3ba572429d815ec680fe4e8d1313912198fd,real-online-stable-trend-delta,"B: single invocation with raw result, logs, environment/checksums",2055.4723746727404,,,0.0
C3,2026-07-19 core health checkpoint,sonnet-throughput,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,submissions/stable-trend-m3-sonnet-throughput-1aa7cd10b7-03ae1d03db-20260816/run_leaderboard.json,submissions/stable-trend-m3-sonnet-throughput-1aa7cd10b7-03ae1d03db-20260816/raw_benchmark_result.json,offline,not real-online: offline raw benchmark result; offline_graph_proof=true; independent_invocations=3,3,200,requests,0,0 benchmark warmup requests,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m3-sonnet-throughput-1aa7cd10b7-03ae1d03db-20260816/repeat_suite.json,False,False,,ecaff7738d2288c97fd8f41df61e62480a1706ea157cd0ed9a6093d805514cd1,real-online-stable-trend-delta,A: raw artifacts plus independent 3-repeat median,3634.7842680217373,,,0.0
C3,2026-07-19 core health checkpoint,visionarena-online,1aa7cd10b7b16e82fdb29fcc47d3a3cd93bd01dc,03ae1d03db8049cd2a5c3f824039814459542e25,submissions/stable-trend-m3-visionarena-1aa7cd10b7-03ae1d03db-20260816/run_leaderboard.json,submissions/stable-trend-m3-visionarena-1aa7cd10b7-03ae1d03db-20260816/raw_benchmark_result.json,online,"raw serve result: completed=1000, failed=0; server_log=true; independent_invocations=3",3,1000,requests,,no benchmark warmup phase declared in the serve invocation,True,representative measured result,formally hardened: independent 3-invocation median,submissions/stable-trend-m3-visionarena-1aa7cd10b7-03ae1d03db-20260816/repeat_suite.json,False,False,,22e4a99de4a4f3ee7daf9ae01d443809ac9486bc22dd84ecf21396474622d6b5,real-online-stable-trend-delta,A: raw artifacts plus independent 3-repeat median,113.08415072402605,430.75847208406776,20.8403234867711,0.0
